,column_a,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome,year,key
0,0,10 WASH,SULFACETAMIDE SODIUM,24,1569.19,16.0,98.074375,5170.0,0.30351837519999997,,,,,2011,52011
1,1,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",2472,57666.73,893.0,64.576405375,293160.0,0.19676603280000002,422.0,42.347203791,471.0,7.5458598725999995,2011,52012
2,2,60PSE-400GFN-20DM,GUAIFENESIN/DM/PSEUDOEPHEDRINE,12,350.1,11.0,31.827272726999997,497.0,0.7044265594,,,,,2011,52013
4,4,A-B OTIC,ANTIPYRINE/BENZOCAINE,30,212.86,29.0,7.34,451.0,0.4719733925,,,,,2011,52015
5,5,ABELCET,AMPHOTERICIN B LIPID COMPLEX,363,455566.1,97.0,4696.557732,49027.0,9.2921471842,49.0,402.04795918,48.0,6.4125,2011,52016
8,8,ABRAXANE,PACLITAXEL PROTEIN-BOUND,233,950703.38,51.0,18641.242745,975.0,975.08038974,14.0,1262.6871429000003,37.0,4.6054054054,2011,52019
9,9,ABSTRAL,FENTANYL CITRATE,82,123813.83,32.0,3869.1821875,5458.0,21.28904455,,,,,2011,52020
10,10,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,432,89539.96,289.0,309.82685121,21601.0,4.1451664738,134.0,104.13858209,155.0,5.484516129,2011,52021
13,13,ACCUNEB,ALBUTEROL SULFATE,120,7415.18,90.0,82.390888889,12921.0,0.5736623739,,,,,2011,52024
14,14,ACCUPRIL,QUINAPRIL HCL,8052,767824.89,1786.0,429.9131523,438176.6,1.7523967178,1259.0,242.10450357,527.0,22.965294118000003,2011,52025
15,15,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,870,80475.08,209.0,385.04822967,46820.0,1.7166898813,145.0,252.08627586,64.0,16.4584375,2011,52026
16,16,ACCUSURE,"SYRING W-NDL,DISP,INSUL,0.5 ML",889,16181.52,326.0,49.636564416999995,77262.0,0.2093434816,76.0,12.507105263,250.0,8.11608,2011,52027
17,17,ACCUSURE,"SYRINGE AND NEEDLE,INSULIN,1ML",768,13543.21,269.0,50.346505576000006,64046.0,0.21113813969999998,125.0,10.126719999999999,144.0,9.5736111111,2011,52028
18,18,ACEBUTOLOL HCL,ACEBUTOLOL HCL,127745,3499407.46,20981.0,166.78935513,9501688.222000001,0.3698130796,17349.0,59.509665686999995,3632.0,12.229388767,2011,52029
19,19,ACEON,PERINDOPRIL ERBUMINE,2605,287874.22,685.0,420.25433577,120094.0,2.3864850089,507.0,237.18585799,178.0,18.836179775,2011,52030
20,20,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,4997,484572.16,1582.0,306.30351454,340065.0,1.4249398203,635.0,105.18351181,947.0,6.9556177402,2011,52031
21,21,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,2803822,37536168.31,1192417.0,31.479061696,172267021.29,0.2256168452,600518.0,13.583327294000002,591899.0,3.2354040131999997,2011,52032
22,22,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,4607,854951.74,3546.0,241.10314157,59926.0,14.266791375999999,2050.0,30.414619511999998,1496.0,2.8821657754000003,2011,52033
25,25,ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,5859,368425.19,4271.0,86.262044018,360681.0,1.0214710229000001,2615.0,10.944156787999999,1656.0,1.6754951691,2011,52036
27,27,ACID JELLY,ACETIC AC/RICINOLEIC/OXYQUINOL,229,8237.44,136.0,60.569411765,23690.0,0.34771802450000006,111.0,25.693963964,25.0,2.4816,2011,52038
28,28,ACIPHEX,RABEPRAZOLE SODIUM,404412,131889812.65,88282.0,1493.960407,18216152.511,7.2402672612,44579.0,315.6039292,43703.0,21.152397089,2011,52039
29,29,ACLOVATE,ALCLOMETASONE DIPROPIONATE,61,4452.64,48.0,92.76333333299999,2220.0,2.1330088981,27.0,36.903333333,21.0,2.419047619,2011,52040
31,31,ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,259,7972.28,238.0,33.49697479,372.5,21.40209396,190.0,19.147263158,48.0,3.7825,2011,52042
33,33,ACTIGALL,URSODIOL,787,427525.11,163.0,2622.8534356,81286.0,5.259517137,92.0,555.65434783,71.0,13.38028169,2011,52044
34,34,ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",601,4338256.97,76.0,57082.328553,5653.5,767.35773768,41.0,3472.2346340999998,35.0,26.877428571,2011,52045
35,35,ACTIQ,FENTANYL CITRATE,1118,10349948.57,158.0,65506.003608000006,122905.0,77.51095588,41.0,1734.7,117.0,22.783760684,2011,52046
36,36,ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,10536,1237658.79,2841.0,435.64195354,424194.11100000003,2.9235016307999997,2141.0,285.72715086,700.0,18.241585714,2011,52047
37,37,ACTONEL,RISEDRONATE SODIUM,1556284,242348288.33,311086.0,779.03952068,6732428.481000001,61.437031807,189688.0,284.26125395,121398.0,23.50605982,2011,52048
38,38,ACTONEL WITH CALCIUM,RISEDRONATE SOD/CALCIUM CARB,51,4818.16,27.0,178.45037037,1376.0,3.5015697674,12.0,47.218333333000004,15.0,12.206666667,2011,52049
39,39,ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,425375,123320978.04,77250.0,1596.3880652,31470918.333,3.9186724582,38285.0,342.82526211,38965.0,29.793466444,2011,52050
40,40,ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,6252,1845632.48,2113.0,873.4654425000001,360508.0,5.5077461148,1286.0,260.48754277,827.0,17.542430472,2011,52051
